ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
48,IA_dificil,17,Derrota,4,False
49,IA_facil,20,Empate,7,True
49,IA_medio,20,Empate,7,True
49,IA_dificil,20,Empate,5,True
50,IA_facil,19,Victoria,5,True
50,IA_medio,17,Derrota,5,True
50,IA_dificil,17,Derrota,4,True
51,IA_facil,18,Derrota,4,True
51,IA_medio,20,Victoria,4,True
51,IA_dificil,17,Derrota,5,True
52,IA_facil,19,Empate,5,False
52,IA_medio,19,Empate,4,True
52,IA_dificil,17,Derrota,4,True
53,IA_facil,19,Victoria,5,True
53,IA_medio,18,Derrota,6,True
53,IA_dificil,17,Derrota,5,True
54,IA_facil,17,Derrota,3,True
54,IA_medio,18,Empate,6,True
54,IA_dificil,18,Empate,6,True
55,IA_facil,18,Empate,7,False
55,IA_medio,17,Derrota,4,True
55,IA_dificil,18,Empate,5,True
56,IA_facil,18,Derrota,3,True
56,IA_medio,20,Empate,6,True
56,IA_dificil,20,Empate,6,True
57,IA_facil,17,Empate,6,False
57,IA_medio,17,Empate,5,True
57,IA_dificil,17,Empate,4,True
58,IA_facil,18,Empate,5,True
58,IA_medio,18,Empate,4,True
58,IA_dificil,17,Derrota,7,True
59,IA_facil,18,Empate,4,True
59,IA_medio,18,Empate,4,True
59,IA_dificil,22,Derrota,7,True
60,IA_facil,21,Victoria,6,False
60,IA_medio,16,Derrota,5,False
60,IA_dificil,16,Derrota,5,False
61,IA_facil,17,Derrota,4,True
61,IA_medio,18,Derrota,4,True
61,IA_dificil,21,Victoria,5,False
62,IA_facil,17,Derrota,7,True
62,IA_medio,19,Victoria,5,True
62,IA_dificil,17,Derrota,7,True
63,IA_facil,16,Derrota,7,False
63,IA_medio,21,Victoria,7,False
63,IA_dificil,20,Derrota,5,True
64,IA_facil,20,Victoria,6,True
64,IA_medio,17,Derrota,6,True
64,IA_dificil,18,Derrota,6,True
65,IA_facil,18,Victoria,6,True
65,IA_medio,22,Derrota,5,True
65,IA_dificil,17,Derrota,6,True
66,IA_facil,21,Victoria,7,False
66,IA_medio,17,Derrota,5,True
66,IA_dificil,18,Derrota,5,True
67,IA_facil,18,Empate,6,True
67,IA_medio,18,Empate,6,True
67,IA_dificil,17,Derrota,4,True
68,IA_facil,17,Derrota,6,True
68,IA_medio,19,Victoria,6,True
68,IA_dificil,17,Derrota,6,True
69,IA_facil,19,Derrota,5,True
69,IA_medio,19,Derrota,5,True
69,IA_dificil,20,Victoria,5,True
70,IA_facil,19,Empate,7,False
70,IA_medio,19,Empate,5,True
70,IA_dificil,22,Derrota,5,True
71,IA_facil,18,Empate,5,False
71,IA_medio,18,Empate,4,True
71,IA_dificil,17,Derrota,4,True
72,IA_facil,18,Victoria,4,True
72,IA_medio,22,Derrota,8,True
72,IA_dificil,17,Derrota,4,True
73,IA_facil,17,Derrota,5,True
73,IA_medio,20,Victoria,5,True
73,IA_dificil,17,Derrota,5,True
74,IA_facil,18,Empate,7,False
74,IA_medio,17,Derrota,5,True
74,IA_dificil,18,Empate,4,True
75,IA_facil,18,Derrota,5,True
75,IA_medio,20,Victoria,5,True
75,IA_dificil,17,Derrota,5,True
76,IA_facil,17,Derrota,4,True
76,IA_medio,21,Victoria,5,False
76,IA_dificil,13,Derrota,4,False
77,IA_facil,19,Victoria,4,True
77,IA_medio,18,Derrota,4,True
77,IA_dificil,18,Derrota,4,True
78,IA_facil,17,Derrota,5,False
78,IA_medio,17,Derrota,5,False
78,IA_dificil,21,Victoria,5,False
79,IA_facil,19,Empate,8,False
79,IA_medio,19,Empate,5,True
79,IA_dificil,17,Derrota,7,True
80,IA_facil,19,Victoria,5,True
80,IA_medio,22,Derrota,6,True
80,IA_dificil,18,Derrota,7,True
81,IA_facil,22,Derrota,7,True
81,IA_medio,20,Victoria,7,True
